,google_url,place_name,total_rating,place_category,total_reviews,cost,address,district,eat_in,to_go_1,to_go_2,delivery,opening_hours,website,phone,close,place_acquisition_date,file_name_1,file_name_2
6679,https://www.google.com.tw/maps/place/%E9%84%9E%E5%AE%B6%E9%A3%9F%E5%A0%82%2F%E4%B8%AD%E5%B1%B1%E7%BE%8E%E9%A3%9F%2F%E5%8F%B0%E5%8C%97%E9%A4%90%E5%BB%B3%2F%E5%8F%B0%E5%8C%97%E4%BE%BF%E7%95%B6%2F%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F/data=!4m7!3m6!1s0x3442abad966635a3:0xb27712adf8e34074!8m2!3d25.046767!4d121.5507854!16s%2Fg%2F11j1shd5q6!19sChIJozVmlq2rQjQRdEDj-K0Sd7I?authuser=0&hl=zh-TW&rclk=1,鄞家食堂/中山美食/台北餐廳/台北便當/台北美食,4.8,小餐館 (Bistro),1697.0,, 105台北市松山區八德路三段12巷15-1號,Plus Code: 2HW2+P8 松山區 台北市,1,1,0,1,星期二、11:00 到 14:00、17:30 到 20:30; 星期三、11:00 到 14:00、17:30 到 20:30; 星期四、11:00 到 14:00、17:30 到 20:30; 星期五、11:00 到 14:00、17:30 到 20:30; 星期六、休息; 星期日、休息; 星期一、11:00 到 14:00、17:30 到 20:30. 隱藏本週營業時間,https://yinhomefood.weebly.com/, 02 2507 6000,,2022-11-22,6679,6679_鄞家食堂
7060,https://www.google.com.tw/maps/place/%E9%9B%B7%E5%92%96%E5%93%A9+%E9%A6%99%E8%BE%9B%E6%96%99%E7%90%86%E5%B0%88%E9%96%80+%EF%BC%88%E5%BA%97%E4%BC%91%E6%97%A5%E4%BB%A5FB%E7%B2%89%E5%B0%88%E5%85%AC%E5%91%8A%E7%82%BA%E4%B8%BB%EF%BC%89/data=!4m7!3m6!1s0x3442abf1a0ad0695:0xa0fa56a33f7f5c07!8m2!3d25.027913!4d121.5425208!16s%2Fg%2F11h_4_0nsg!19sChIJlQatoPGrQjQRB1x_P6NW-qA?authuser=0&hl=zh-TW&rclk=1,雷咖哩 香辛料理專門 （店休日以FB粉專公告為主）,4.6,小餐館 (Bistro),316.0,$$, 106台北市大安區復興南路二段160巷11號1樓,Plus Code: 2GHV+52 大安區 台北市,1,0,0,0,星期二、19:00 到 22:00; 星期三、19:00 到 22:00; 星期四、19:00 到 22:00; 星期五、19:00 到 22:00; 星期六、19:00 到 22:00; 星期日、休息; 星期一、休息. 隱藏本週營業時間,https://www.facebook.com/lespices, 02 2700 4175,,2022-11-22,7060,7060_雷咖哩 
7069,https://www.google.com.tw/maps/place/%E4%B9%9D%E6%AF%9B%E4%B9%9D%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442ab965ba953bf:0xe60e7ebd2ef73b06!8m2!3d25.0249543!4d121.5466399!16s%2Fg%2F11hy9hhv6c!19sChIJv1OpW5arQjQRBjv3Lr1-DuY?authuser=0&hl=zh-TW&rclk=1,九毛九食堂,4.6,小餐館 (Bistro),111.0,, 106台北市大安區和平東路三段1巷6-5號,Plus Code: 2GFW+XM 大安區 台北市,1,1,0,1,星期二、11:30 到 14:30、17:00 到 20:00; 星期三、11:30 到 14:30、17:00 到 20:00; 星期四、11:30 到 14:30、17:00 到 20:00; 星期五、11:30 到 14:30、17:00 到 20:00; 星期六、休息; 星期日、休息; 星期一、11:30 到 14:30、17:00 到 20:00. 隱藏本週營業時間,https://www.facebook.com/jomaojocanteen/, 02 2709 2749,,2022-11-22,7069,7069_九毛九食
7142,https://www.google.com.tw/maps/place/1492%E9%A4%90%E9%85%92%E9%A4%A8+BISTRO%26CIGAR/data=!4m7!3m6!1s0x3442abf22d6c4f01:0x2ceb7f30369569b4!8m2!3d25.0268834!4d121.5514534!16s%2Fg%2F11hypyqh18!19sChIJAU9sLfKrQjQRtGmVNjB_6yw?authuser=0&hl=zh-TW&rclk=1,1492餐酒館 BISTRO&CIGAR,4.2,小餐館 (Bistro),225.0,, 106台北市大安區樂利路30號,Plus Code: 2HG2+QH 大安區 台北市,1,1,0,1,星期二、18:00 到 01:00; 星期三、18:00 到 01:00; 星期四、18:00 到 01:00; 星期五、18:00 到 01:00; 星期六、18:00 到 01:00; 星期日、休息; 星期一、18:00 到 01:00. 隱藏本週營業時間,https://www.facebook.com/1492BistroandCaffe/, 02 2732 0128,,2022-11-22,7142,7142_1492
7171,https://www.google.com.tw/maps/place/a.Bistro/data=!4m7!3m6!1s0x3442aa295555553d:0x1a35c0a282aae4d5!8m2!3d25.0361651!4d121.5480787!16s%2Fg%2F11b77zvz6n!19sChIJPVVVVSmqQjQR1eSqgqLANRo?authuser=0&hl=zh-TW&rclk=1,a.Bistro,4.3,小餐館 (Bistro),106.0,, 106台北市大安區四維路30號,Plus Code: 2GPX+F6 大安區 台北市,1,0,1,0,星期二、19:00 到 01:00; 星期三、18:00 到 02:00; 星期四、18:00 到 02:00; 星期五、18:00 到 02:00; 星期六、18:00 到 02:00; 星期日、19:00 到 01:00; 星期一、19:00 到 01:00. 隱藏本週營業時間,https://www.facebook.com/abistro.taipei/, 02 2707 9990,,2022-11-22,7171,7171_a.Bi
7261,https://www.google.com.tw/maps/place/Miopane/data=!4m7!3m6!1s0x3442abda76dd679d:0x37bde70de7149a55!8m2!3d25.0422879!4d121.5447418!16s%2Fg%2F11f120t4v4!19sChIJnWfddtqrQjQRVZoU5w3nvTc?authuser=0&hl=zh-TW&rclk=1,Miopane,3.7,麵包圈店,411.0,$$, 106台北市大安區忠孝東路四段45號B1,Plus Code: 2GRV+WV 大安區 台北市,1,1,0,1,星期二、11:00 到 21:30; 星期三、11:00 到 21:30; 星期四、11:00 到 21:30; 星期五、11:00 到 22:00; 星期六、11:00 到 22:00; 星期日、11:00 到 21:30; 星期一、11:00 到 21:30. 隱藏本週營業時間,https://www.facebook.com/miopanetaipei/, 02 8771 9056,,2022-11-22,7261,7261_Miop
7269,https://www.google.com.tw/maps/place/%E9%BB%91%E8%B2%93%E9%A3%9F%E5%A0%82%E7%87%92%E8%82%89%E9%A3%AF/data=!4m7!3m6!1s0x3442abc9fcb2b799:0xef3b40afe762db38!8m2!3d25.033408!4d121.559395!16s%2Fg%2F11c44zfb6t!19sChIJmbey_MmrQjQRONti569AO-8?authuser=0&hl=zh-TW&rclk=1,黑貓食堂燒肉飯,4.2,食堂與定食餐廳,232.0,$, 106台北市大安區信義路四段415號,Plus Code: 2HM5+9Q 大安區 台北市,1,1,0,1,星期二、11:30 到 19:30; 星期三、11:30 到 19:30; 星期四、11:30 到 19:30; 星期五、11:30 到 19:30; 星期六、11:30 到 19:30; 星期日、休息; 星期一、11:30 到 19:30. 隱藏本週營業時間,, 02 2758 7614,,2022-11-22,7269,7269_黑貓食堂
7281,https://www.google.com.tw/maps/place/%E9%98%BF%E7%94%98%E8%B6%8A%E5%8D%97%E7%BE%8E%E9%A3%9F/data=!4m7!3m6!1s0x3442ab9be3bbd2cf:0x7d029a580a19dbda!8m2!3d25.0503581!4d121.5760009!16s%2Fg%2F11f3x54sy3!19sChIJz9K745urQjQR2tsZCliaAn0?authuser=0&hl=zh-TW&rclk=1,阿甘越南美食,4.6,愛心食堂,106.0,$, 105台北市松山區八德路四段,Plus Code: 3H2G+4C 松山區 台北市,0,0,0,0,星期二、11:30 到 20:00; 星期三、11:30 到 20:00; 星期四、11:30 到 20:00; 星期五、11:30 到 20:00; 星期六、休息; 星期日、11:30 到 20:00; 星期一、11:30 到 20:00. 隱藏本週營業時間,, 0968 999 122,,2022-11-22,7281,7281_阿甘越南
7334,https://www.google.com.tw/maps/place/YAYOI%E5%BD%8C%E7%94%9F%E8%BB%92+%E4%B8%AD%E5%B4%99%E5%A4%A7%E6%BD%A4%E7%99%BC%E5%BA%97/data=!4m7!3m6!1s0x3442abcce71aea43:0x9bf6684795482f1d!8m2!3d25.046896!4d121.542499!16s%2Fg%2F11rfpfry1r!19sChIJQ-oa58yrQjQRHS9IlUdo9ps?authuser=0&hl=zh-TW&rclk=1,YAYOI彌生軒 中崙大潤發店,4.3,食堂與定食餐廳,74.0,$$, 104台北市中山區八德路二段306號B1,Plus Code: 2GWR+QX 中山區 台北市,1,1,0,1,星期二、11:30 到 15:00、17:30 到 22:00; 星期三、11:30 到 15:00、17:30 到 22:00; 星期四、11:30 到 15:00、17:30 到 22:00; 星期五、11:30 到 15:00、17:30 到 22:00; 星期六、11:30 到 22:00; 星期日、11:30 到 22:00; 星期一、11:30 到 15:00、17:30 到 22:00. 隱藏本週營業時間,https://www.yayoi.com.tw/, 02 8772 4589,,2022-11-22,7334,7334_YAYO
7356,https://www.google.com.tw/maps/place/%E8%99%8E%E8%A8%98%E9%A4%83%E5%AD%90%E4%B8%96%E8%B2%BF%E5%BA%97/data=!4m7!3m6!1s0x3442ab4d42fa24bb:0x76437f25b84527e8!8m2!3d25.0308319!4d121.5592028!16s%2Fg%2F11fsh3j5yh!19sChIJuyT6Qk2rQjQR6CdFuCV_Q3Y?authuser=0&hl=zh-TW&rclk=1,虎記餃子世貿店,4.2,食堂與定食餐廳,592.0,$, 110台北市信義區基隆路二段39巷14號1樓,Plus Code: 2HJ5+8M 信義區 台北市,1,1,0,1,星期二、11:30 到 14:30、17:00 到 20:30; 星期三、11:30 到 14:30、17:00 到 20:30; 星期四、11:30 到 14:30、17:00 到 20:30; 星期五、11:30 到 14:30、17:00 到 20:30; 星期六、11:30 到 14:30、17:00 到 20:30; 星期日、11:30 到 14:30、17:00 到 20:30; 星期一、11:30 到 14:30、17:00 到 20:30. 隱藏本週營業時間,https://tigerdumpling.net/, 02 2732 9871,,2022-11-22,7356,7356_虎記餃子
7363,https://www.google.com.tw/maps/place/%E6%97%A5%E5%87%BA%E6%8B%89%E9%BA%B5%EF%BC%88%E5%8D%97%E6%98%8C%E8%B7%AF%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a99a7edcd749:0x34997e5a0b919974!8m2!3d25.0258667!4d121.5224345!16s%2Fg%2F11g8w512ck!19sChIJSdfcfpqpQjQRdJmRC1p-mTQ?authuser=0&hl=zh-TW&rclk=1,日出拉麵（南昌路店）,3.4,食堂與定食餐廳,489.0,$$, 100台北市中正區南昌路二段151號,Plus Code: 2GGC+8X 中正區 台北市,1,1,0,1,星期二、11:00 到 15:00、16:30 到 22:00; 星期三、11:00 到 15:00、16:30 到 22:00; 星期四、11:00 到 15:00、16:30 到 22:00; 星期五、11:00 到 15:00、16:30 到 22:00; 星期六、11:00 到 15:00、16:30 到 22:00; 星期日、11:00 到 15:00、16:30 到 22:00; 星期一、11:00 到 15:00、16:30 到 22:00. 隱藏本週營業時間,, 02 2368 0552,,2022-11-22,7363,7363_日出拉麵
7472,https://www.google.com.tw/maps/place/The+Public+House/data=!4m7!3m6!1s0x3442abff46b1f7c5:0xdfeccb8698905760!8m2!3d25.0334116!4d121.5496181!16s%2Fg%2F11kf9tbsjx!19sChIJxfexRv-rQjQRYFeQmIbL7N8?authuser=0&hl=zh-TW&rclk=1,The Public House,4.5,小餐館 (Bistro),390.0,, 10681台北市大安區信義路四段143號一樓,Plus Code: 2GMX+9R 大安區 台北市,1,0,1,1,星期二、19:00 到 04:00; 星期三、19:00 到 04:00; 星期四、19:00 到 04:00; 星期五、19:00 到 04:00; 星期六、19:00 到 04:00; 星期日、19:00 到 00:00; 星期一、休息. 隱藏本週營業時間,https://www.facebook.com/The-Public-House-104042718071448/?epa=SEARCH_BOX, 02 2701 0053,,2022-11-22,7472,7472_The 
7473,https://www.google.com.tw/maps/place/%E9%86%89%E7%94%9Cmini%E9%85%92%E9%A4%90/data=!4m7!3m6!1s0x3442ab49148a17f5:0x5eeb14ac3d1577dd!8m2!3d25.0434503!4d121.5471118!16s%2Fg%2F11rw_ny236!19sChIJ9ReKFEmrQjQR3XcVPawU614?authuser=0&hl=zh-TW&rclk=1,醉甜mini酒餐,5.0,小餐館 (Bistro),66.0,, 106台北市大安區敦化南路一段160巷40號,Plus Code: 2GVW+9R 大安區 台北市,1,0,1,0,星期二、18:00 到 01:00; 星期三、18:00 到 01:00; 星期四、18:00 到 01:00; 星期五、18:00 到 01:00; 星期六、18:00 到 01:00; 星期日、18:00 到 01:00; 星期一、18:00 到 01:00. 隱藏本週營業時間,https://www.facebook.com/%E9%86%89%E7%94%9C-mini%E9%85%92%E9%A4%90-110321397916977, 02 2771 0102,,2022-11-22,7473,7473_醉甜mi
7632,https://www.google.com.tw/maps/place/%E8%95%83%E8%8C%84%E5%B1%8B/data=!4m7!3m6!1s0x3442aa3175d493cb:0xb7652987ce2b4461!8m2!3d25.0230836!4d121.5514632!16s%2Fg%2F1tdztdz8!19sChIJy5PUdTGqQjQRYUQrzocpZbc?authuser=0&hl=zh-TW&rclk=1,蕃茄屋,3.9,小餐館 (Bistro),168.0,$, 106台北市大安區基隆路二段211之1號,Plus Code: 2HF2+6H 大安區 台北市,1,1,0,1,星期二、11:00 到 20:00; 星期三、11:00 到 20:00; 星期四、11:00 到 20:00; 星期五、11:00 到 20:00; 星期六、休息; 星期日、休息; 星期一、11:00 到 20:00. 隱藏本週營業時間,http://loveemily2002.pixnet.net/blog/post/165768186, 02 2735 8974,,2022-11-22,7632,7632_蕃茄屋
7836,https://www.google.com.tw/maps/place/%E8%99%8E%E8%A8%98%E9%A4%83%E5%AD%90%E6%95%A6%E5%8C%97%E5%BA%97/data=!4m7!3m6!1s0x3442ab91d2b15641:0x3d8c983261de8a71!8m2!3d25.0549899!4d121.550038!16s%2Fg%2F11q83vdcc_!19sChIJQVax0pGrQjQRcYreYTKYjD0?authuser=0&hl=zh-TW&rclk=1,虎記餃子敦北店,4.1,食堂與定食餐廳,188.0,$, 105台北市松山區敦化北路199巷2弄19號1樓,Plus Code: 3H32+X2 松山區 台北市,1,1,0,1,星期二、11:30 到 14:30、17:00 到 20:30; 星期三、11:30 到 14:30、17:00 到 20:30; 星期四、11:30 到 14:30、17:00 到 20:30; 星期五、11:30 到 14:30、17:00 到 20:30; 星期六、11:30 到 14:30、17:00 到 20:30; 星期日、11:30 到 14:30、17:00 到 20:30; 星期一、11:30 到 14:30、17:00 到 20:30. 隱藏本週營業時間,https://tigerdumpling.net/, 02 2718 1521,,2022-11-22,7836,7836_虎記餃子
7903,https://www.google.com.tw/maps/place/River+%E5%89%B5%E6%84%8F%E6%96%B0%E6%B4%BE%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442ab5ab72ef2cd:0x2b057d44472a1281!8m2!3d25.0398901!4d121.5551071!16s%2Fg%2F11ng678ry7!19sChIJzfIut1qrQjQRgRIqR0R9BSs?authuser=0&hl=zh-TW&rclk=1,River 創意新派料理,4.8,小餐館 (Bistro),149.0,, 106台北市大安區光復南路280巷50號,Plus Code: 2HQ4+X2 大安區 台北市,1,1,0,1,星期二、17:00 到 01:00; 星期三、17:00 到 01:00; 星期四、17:00 到 01:00; 星期五、17:00 到 01:00; 星期六、17:00 到 01:00; 星期日、17:00 到 01:00; 星期一、休息. 隱藏本週營業時間,, 02 8773 9773,,2022-11-22,7903,7903_Rive
7907,https://www.google.com.tw/maps/place/%E8%BF%B7%E6%B8%AF%E5%AE%B6%E5%8F%89%E7%87%92%E8%88%96-%E5%85%89%E5%BE%A9%E9%96%80%E5%B8%82/data=!4m7!3m6!1s0x3442ab85a7e141d5:0x5b57ba6d7d8f3afb!8m2!3d25.0341811!4d121.5573042!16s%2Fg%2F11rj_fxs6g!19sChIJ1UHhp4WrQjQR-zqPfW26V1s?authuser=0&hl=zh-TW&rclk=1,迷港家叉燒舖-光復門市,4.3,小餐館 (Bistro),28.0,, 106068台北市大安區光復南路570號1樓,Plus Code: 2HM4+MW 大安區 台北市,1,1,0,1,星期二、11:00 到 14:00、17:00 到 20:00; 星期三、11:00 到 14:00、17:00 到 20:00; 星期四、11:00 到 14:00、17:00 到 20:00; 星期五、11:00 到 14:00、17:00 到 20:00; 星期六、11:00 到 14:00、17:00 到 20:00; 星期日、11:00 到 14:00、17:00 到 20:00; 星期一、11:00 到 14:00、17:00 到 20:00. 隱藏本週營業時間,https://www.facebook.com/Migangjia/, 02 2701 5770,,2022-11-22,7907,7907_迷港家叉
8028,https://www.google.com.tw/maps/place/%E5%9C%A8%E5%93%AA%E8%A3%8FAlma+Campus%E9%A4%90%E9%85%92%E8%97%9D%E8%8B%91/data=!4m7!3m6!1s0x3442ab540ef7cdc5:0xc612d7e159046a89!8m2!3d25.0474937!4d121.5513771!16s%2Fg%2F11lm96r95j!19sChIJxc33DlSrQjQRiWoEWeHXEsY?authuser=0&hl=zh-TW&rclk=1,在哪裏Alma Campus餐酒藝苑,4.8,小餐館 (Bistro),138.0,, 10558台北市松山區八德路三段12巷5弄26號,Plus Code: 2HW2+XH 松山區 台北市,1,1,0,0,星期二、16:30 到 23:00; 星期三、16:30 到 23:00; 星期四、16:30 到 23:00; 星期五、16:30 到 01:00; 星期六、11:30 到 01:00; 星期日、11:30 到 23:00; 星期一、16:30 到 23:00. 隱藏本週營業時間,https://fb.com/book/101169788575412/, 02 2579 6826,,2022-11-22,8028,8028_在哪裏A
8044,https://www.google.com.tw/maps/place/%E8%80%81%E7%9D%A6%E5%AE%B6+%E7%82%92%E9%B1%94%E9%AD%9A%E3%80%82%E6%B2%99%E8%8C%B6%E9%AD%9A%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442abdead66e3fd:0xda528b8e8530e40!8m2!3d25.047632!4d121.542025!16s%2Fg%2F11bxgbkp6y!19sChIJ_eNmrd6rQjQRQA5T6LgopQ0?authuser=0&hl=zh-TW&rclk=1,老睦家 炒鱔魚。沙茶魚頭火鍋,4.3,小餐館 (Bistro),300.0,$$, 10491台北市中山區遼寧街16號,Plus Code: 2GXR+3R 中山區 台北市,1,1,0,1,星期二、11:00 到 14:00、16:30 到 21:00; 星期三、11:00 到 14:00、16:30 到 21:00; 星期四、11:00 到 14:00、16:30 到 21:00; 星期五、11:00 到 14:00、16:30 到 21:00; 星期六、休息; 星期日、11:00 到 14:00、16:30 到 21:00; 星期一、11:00 到 14:00、16:30 到 21:00. 隱藏本週營業時間,https://www.facebook.com/AgedMom/, 02 2773 1887,,2022-11-22,8044,8044_老睦家 
8058,https://www.google.com.tw/maps/place/%E5%AF%B6%E7%85%B2%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442abd968333841:0x52318c9ba9340edf!8m2!3d25.0469373!4d121.5418847!16s%2Fg%2F11fyz56g_d!19sChIJQTgzaNmrQjQR3w40qZuMMVI?authuser=0&hl=zh-TW&rclk=1,寶煲食堂,4.4,食堂與定食餐廳,216.0,, 10491台北市中山區八德路二段288號1樓,Plus Code: 2GWR+QQ 中山區 台北市,1,1,0,0,星期二、11:00 到 14:00、17:00 到 20:30; 星期三、11:00 到 14:00、17:00 到 20:30; 星期四、11:00 到 14:00、17:00 到 20:30; 星期五、11:00 到 14:00、17:00 到 20:30; 星期六、休息; 星期日、休息; 星期一、11:00 到 14:00、17:00 到 20:30. 隱藏本週營業時間,https://www.facebook.com/baobao0939794958/, 0939 794 958,,2022-11-22,8058,8058_寶煲食堂
8061,https://www.google.com.tw/maps/place/%E5%BE%AE%E9%A2%A8%E5%BB%BA%E4%B8%80%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442ab1ff324c249:0x30d8c1d260f591c0!8m2!3d25.046664!4d121.5422576!16s%2Fg%2F11f636tkmf!19sChIJScIk8x-rQjQRwJH1YNLB2DA?authuser=0&hl=zh-TW&rclk=1,微風建一食堂,4.3,食堂與定食餐廳,618.0,, 10491台北市中山區八德路二段300巷10號,Plus Code: 2GWR+MW 中山區 台北市,1,1,0,0,星期二、12:00 到 14:30、18:00 到 23:00; 星期三、12:00 到 14:30、18:00 到 23:00; 星期四、12:00 到 14:30、18:00 到 23:00; 星期五、12:00 到 14:30、18:00 到 23:00; 星期六、12:00 到 14:30、18:00 到 23:00; 星期日、12:00 到 14:30、18:00 到 23:00; 星期一、12:00 到 14:30、18:00 到 23:00. 隱藏本週營業時間,http://www.facebook.com/jian1.jian1/, 02 8772 2178,,2022-11-22,8061,8061_微風建一
8095,https://www.google.com.tw/maps/place/%E8%82%89%E8%82%9A%E7%83%A4%E8%82%89%E9%A3%AF/data=!4m7!3m6!1s0x3442a91242434903:0xe030deda90a5782d!8m2!3d25.0438057!4d121.5362232!16s%2Fg%2F11t3hx4zgd!19sChIJA0lDQhKpQjQRLXilkNreMOA?authuser=0&hl=zh-TW&rclk=1,肉肚烤肉飯,4.8,小餐館 (Bistro),29.0,, 106台北市大安區八德路二段10巷47號,Plus Code: 2GVP+GF 大安區 台北市,1,0,1,1,星期二、10:30 到 19:30; 星期三、10:30 到 19:30; 星期四、10:30 到 19:30; 星期五、10:30 到 19:30; 星期六、休息; 星期日、10:30 到 19:30; 星期一、10:30 到 19:30. 隱藏本週營業時間,, 0922 378 060,,2022-11-22,8095,8095_肉肚烤肉
8109,https://www.google.com.tw/maps/place/1516+Bistro/data=!4m7!3m6!1s0x3442abdbefd4888d:0xf3af0b7f8f764cbe!8m2!3d25.0465522!4d121.5433906!16s%2Fg%2F11gzd8v0t!19sChIJjYjU79urQjQRvkx2j38Lr_M?authuser=0&hl=zh-TW&rclk=1,1516 Bistro,4.7,小餐館 (Bistro),341.0,$$, 10491台北市中山區復興南路一段30巷4號,Plus Code: 2GWV+J9 中山區 台北市,1,1,0,0,星期二、18:00 到 00:00; 星期三、18:00 到 00:00; 星期四、18:00 到 00:00; 星期五、18:00 到 00:00; 星期六、18:00 到 00:00; 星期日、休息; 星期一、18:00 到 00:00. 隱藏本週營業時間,https://www.facebook.com/1516Bistro/, 02 2740 5586,,2022-11-22,8109,8109_1516
8214,https://www.google.com.tw/maps/place/d%C3%A9PLACE+%E5%BE%B7%E6%99%AE%E9%9B%B7%E6%96%AF/data=!4m7!3m6!1s0x3442abc46b0206e9:0x3107065d37afac3!8m2!3d25.043875!4d121.5525083!16s%2Fg%2F11b8jd3kzt!19sChIJ6QYCa8SrQjQRw_p602VwEAM?authuser=0&hl=zh-TW&rclk=1,déPLACE 德普雷斯,4.2,小餐館 (Bistro),700.0,$$, 106台北市大安區敦化南路一段161巷69弄5號1樓,Plus Code: 2HV3+G2 大安區 台北市,1,1,0,1,,https://www.facebook.com/dePLACEcafe, 02 2711 0611,,2022-11-22,8214,8214_déPL
8250,https://www.google.com.tw/maps/place/The+Malt+%E9%BA%A5%E6%9D%91/data=!4m7!3m6!1s0x3442abd2daf10d3b:0xcff79d4fded3b196!8m2!3d25.0430419!4d121.5414498!16s%2Fg%2F11c1wvts3n!19sChIJOw3x2tKrQjQRlrHT3k-d988?authuser=0&hl=zh-TW&rclk=1,The Malt 麥村,4.8,小餐館 (Bistro),352.0,$$, 106台北市大安區忠孝東路三段251巷8弄3號1樓,Plus Code: 2GVR+6H 大安區 台北市,1,1,0,0,星期二、19:00 到 00:00; 星期三、19:00 到 00:00; 星期四、19:00 到 00:00; 星期五、19:00 到 01:00; 星期六、19:00 到 01:00; 星期日、19:00 到 00:00; 星期一、19:00 到 00:00. 隱藏本週營業時間,https://www.facebook.com/TheMalt.Taipei, 02 2707 7169,,2022-11-22,8250,8250_The 
8274,https://www.google.com.tw/maps/place/%E6%A8%82%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442aa2e6b7cfa81:0xaf2968239ea91773!8m2!3d25.0242428!4d121.5467308!16s%2Fg%2F1tdjtqkh!19sChIJgfp8ay6qQjQRcxepniNoKa8?authuser=0&hl=zh-TW&rclk=1,樂食堂,4.3,食堂與定食餐廳,647.0,$$, 106台北市大安區臥龍街11號,Plus Code: 2GFW+MM 大安區 台北市,1,1,0,0,星期二、11:30 到 14:00、17:30 到 20:30; 星期三、11:30 到 14:00、17:30 到 20:30; 星期四、11:30 到 14:00、17:30 到 20:30; 星期五、11:30 到 14:00、17:30 到 20:30; 星期六、11:30 到 14:00、17:30 到 20:30; 星期日、11:30 到 14:00、17:30 到 20:30; 星期一、11:30 到 14:00、17:30 到 20:30. 隱藏本週營業時間,https://www.facebook.com/%E6%A8%82%E9%A3%9F%E5%A0%82-212522785453390/, 02 2377 0000,,2022-11-22,8274,8274_樂食堂
8276,https://www.google.com.tw/maps/place/%E8%B1%9A%E5%A4%AA%E9%83%8E%E6%97%A5%E5%BC%8F%E4%B8%BC%E9%A3%AF/data=!4m7!3m6!1s0x3442aa2e6b6dcaa7:0x38186b87275b2a55!8m2!3d25.0241744!4d121.546727!16s%2Fg%2F11gbzcgtr0!19sChIJp8ptay6qQjQRVSpbJ4drGDg?authuser=0&hl=zh-TW&rclk=1,豚太郎日式丼飯,4.2,食堂與定食餐廳,355.0,$, 106台北市大安區臥龍街13號,Plus Code: 2GFW+MM 大安區 台北市,1,1,0,1,星期二、11:30 到 20:00; 星期三、11:30 到 20:00; 星期四、11:30 到 20:00; 星期五、11:30 到 20:00; 星期六、11:30 到 20:00; 星期日、休息; 星期一、11:30 到 20:00. 隱藏本週營業時間,http://17d.com.tw/0223785554, 02 2378 5554,,2022-11-22,8276,8276_豚太郎日
8283,https://www.google.com.tw/maps/place/miso%E6%97%A5%E5%BC%8F%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442a986075b14af:0x33a4da20059c183f!8m2!3d25.024029!4d121.531243!16s%2Fg%2F11gdmdh3ky!19sChIJrxRbB4apQjQRPxicBSDapDM?authuser=0&hl=zh-TW&rclk=1,miso日式食堂,4.2,食堂與定食餐廳,416.0,, 106台北市大安區泰順街42-9號,Plus Code: 2GFJ+JF 大安區 台北市,1,1,0,1,星期二、11:00 到 14:00、17:00 到 20:00; 星期三、11:00 到 14:00、17:00 到 20:00; 星期四、11:00 到 14:00、17:00 到 20:00; 星期五、11:00 到 14:00、17:00 到 20:00; 星期六、11:00 到 14:00、17:00 到 20:00; 星期日、11:00 到 14:00、17:00 到 20:00; 星期一、11:00 到 14:00、17:00 到 20:00. 隱藏本週營業時間,https://miso-japanese-restaurant.business.site/, 02 2366 0352,,2022-11-22,8283,8283_miso
8356,https://www.google.com.tw/maps/place/%E5%B0%AC%E8%81%8A%E5%A4%AB%E5%A9%A6+%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442ab31b6345b7d:0x39f58113e4040345!8m2!3d25.0429811!4d121.5475237!16s%2Fg%2F11h8cbrl9y!19sChIJfVs0tjGrQjQRRQME5BOB9Tk?authuser=0&hl=zh-TW&rclk=1,尬聊夫婦 餐酒館,4.9,小餐館 (Bistro),102.0,, 106台北市大安區大安路一段51巷34號,Plus Code: 2GVX+52 大安區 台北市,1,1,0,1,星期二、19:00 到 01:00; 星期三、19:00 到 01:00; 星期四、19:00 到 01:00; 星期五、19:00 到 01:00; 星期六、19:00 到 01:00; 星期日、19:00 到 01:00; 星期一、休息. 隱藏本週營業時間,https://restaurant-76338.business.site/?utm_source=gmb&utm_medium=referral, 0938 925 515,,2022-11-22,8356,8356_尬聊夫婦
